priority,provider,category,reuse_option,official_api_sdk,mcp_availability,unified_api,effort,maintenance_risk,likely_cost,recommendation,research_status
P0,Shopify,Commerce,Nango plus direct,GraphQL Admin API and official libraries,No official production MCP selected,Nango/Paragon coverage likely,2-5 days initial,Medium,Nango usage plus provider app costs,"Use Nango auth where it fits; direct GraphQL/webhooks for core commerce; REST is legacy",Official API verified
P0,QuickBooks Online,Accounting,Nango or Merge,Official Intuit API/OAuth,No official MCP selected,Merge Accounting and Nango,2-5 days,Medium-High,Aggregator connection/usage fees,"Prototype Nango and Merge; choose per normalized accounting depth and economics",Reuse Scout researched; production not tested
P0,Stripe,Finance/Payments,Direct official API,Official SDK/API and webhooks,Official/community MCP requires separate approval,Nango/Paragon possible,1-3 days,Low-Medium,Stripe normal platform fees,"Direct official API for financial correctness; use integration runtime for auth/ops only where useful",Official API established
P0,HubSpot,CRM,Nango or direct,Official APIs OAuth/service keys and webhooks,No approved official MCP selected,Merge CRM/Nango/Paragon,2-5 days,Medium,Aggregator fees possible,"Nango/Direct; Merge when normalized multi-CRM model is valuable",Official webhook/auth research verified
P0,Google Drive,Files,Nango or direct,Google Drive API OAuth/service account,No approved production MCP selected,Merge file storage/Nango,1-3 days,Medium,Low API cost plus verification/security assessment risk,"Use narrow OAuth scopes; Nango for credential lifecycle",Official scopes verified
P0,Google Sheets,Spreadsheet,Nango or direct,Google Sheets API OAuth/service account,No approved production MCP selected,Nango/Paragon,1-3 days,Medium,Low API cost,"Direct/Nango; prefer drive.file where feasible; configurable mappings",Official scopes verified
P0,Gmail,Email,Nango or direct,Gmail API OAuth 2.0,No approved production MCP selected,Nango/Paragon,1-3 days,Medium-High,Low API cost but Google verification may cost/time,"Use Nango/direct with minimum scopes; separate read/send permissions",Official OAuth verified
P0,Google Calendar,Calendar,Nango or direct,Calendar API OAuth,No approved production MCP selected,Nango/Paragon,1-3 days,Medium,Low API cost,"Nango/direct; minimum calendar/freebusy scope by use case",Official scopes verified
P1,WooCommerce,Commerce,Nango/direct or WordPress integration,REST API v3 and webhooks,No approved official MCP selected,Nango/Paragon may cover,2-5 days,Medium-High,Low provider API cost,"Direct REST v3/webhooks or Nango; account for plugin/version variance",Official API/webhook verified
P1,BigCommerce,Commerce,Nango/direct,Official APIs/webhooks,No approved official MCP selected,Nango/Paragon likely,2-5 days,Medium,Aggregator fees possible,"Nango first; direct for gaps/high volume",Catalog research; production not tested
P1,Amazon Selling Partner,Marketplace,Direct SP-API,Official SP-API and Notifications,No approved official MCP selected,Limited unified coverage,5-10+ days,High,AWS/SQS plus implementation/approval costs,"Direct SP-API; treat seller authorization, rate limits and notification infra as specialized",Official notifications researched
P1,Xero,Accounting,Nango or Merge,Official Accounting API/OAuth,No approved official MCP selected,Merge Accounting/Nango,2-5 days,Medium,Aggregator fees,"Prototype alongside QBO; reuse normalized accounting only if model coverage is sufficient",Catalog research; production not tested
P1,Salesforce,CRM,Nango/Merge/Paragon,Official APIs/OAuth/events,No approved official MCP selected,Merge CRM/Nango/Paragon,3-7 days,Medium-High,Aggregator plus Salesforce edition/API costs,"Unified API for common CRM objects; direct for custom objects/deep platform features",Catalog research; production not tested
P1,Microsoft Outlook,Email/Calendar,Nango or Microsoft Graph,Microsoft Graph,No approved official MCP selected,Nango/Paragon,2-5 days,Medium,Azure/app registration plus aggregator,"Use Graph/Nango; subscription renewal monitoring required",Official Graph change notifications verified
P1,OneDrive,Files,Nango or Microsoft Graph,Microsoft Graph,No approved official MCP selected,Merge file storage/Nango,2-5 days,Medium,Aggregator possible,"Nango/Graph depending common-model need",Catalog research
P1,Excel,Spreadsheet,Nango or Microsoft Graph,Microsoft Graph workbook APIs,No approved official MCP selected,Nango/Paragon,2-5 days,Medium,Aggregator possible,"Graph/direct for workbook-specific operations; mappings configurable",Catalog research
P1,Microsoft Teams,Communication,Nango or Microsoft Graph,Microsoft Graph,No approved official MCP selected,Nango/Paragon,2-5 days,Medium-High,Aggregator possible,"Use approved Graph permissions; avoid broad tenant scopes",Catalog research
P1,Slack,Communication,Nango/direct,Slack Web/API and Events API,No approved official MCP selected,Merge Chat/Nango/Paragon,1-3 days,Medium,Aggregator possible,"Nango/direct; bot scopes least privilege",Catalog research
P1,Dropbox,Storage,Nango/direct,Dropbox API/OAuth/webhooks,No approved official MCP selected,Merge File Storage/Nango,1-3 days,Low-Medium,Aggregator possible,"Merge/Nango if multi-storage normalization matters; otherwise direct",Catalog research
P2,Shipping platforms,Shipping,Aggregator-specific,Vendor APIs vary,No general approved MCP,Nango/Paragon/Pipedream coverage varies,3-10 days,High,Vendor/aggregator,"Prioritize by first client; evaluate ShipStation/Shippo/EasyPost before custom",Needs client-driven research
P2,POS,POS,Vendor/aggregator-specific,Square/Toast/Lightspeed/etc vary,None approved,Nango/Paragon coverage varies,3-10 days,High,Vendor/aggregator,"Select based on first customers; do not build generic POS layer now",Needs client-driven research
P2,ERP,ERP,Vendor/unified/iPaaS,NetSuite/Dynamics/etc vary,None approved,Paragon/Nango/iPaaS vary,5-20+ days,High,Often enterprise pricing,"Treat as specialist connector class; bounded discovery per client",Needs client-driven research
P2,Inventory software,Inventory,Vendor/aggregator-specific,Varies,None approved,Nango/Paragon/Pipedream vary,3-10 days,High,Varies,"Client-driven connector selection; normalize only needed inventory entities",Needs client-driven research
