candidate_id,capability,repository,branch,path,commit_or_version,predecessor,successor,approval_evidence,implementation_evidence,verification_evidence,known_defects,dependencies,external_services,security_or_license,V2_relevance,V2_owner,classification,confidence,contamination_risk,migration_difficulty,time_saved
V1-001,Agency/project model,ng549/Merchant-PRO,feature/mhc-project-foundation,apps/mhc-console/src/index.js,8893eb986a39f4ca09ff817ae1f78ac6461d5a7f,older HUD project routes,V2 tenant/project contract,operator decisions + project catalog,Implemented routes/default records,Historical source/tests only,hardcoded core projects and identity arrays,auth+membership+DO,Cloudflare+Google,N/A,High,Worker 6,REBUILD,HIGH,HIGH,MEDIUM,2-4 days requirements reuse
V1-002,Project visibility/roles,ng549/Merchant-PRO,feature/mhc-project-foundation,src/index.js + src/membership.js,8893eb986a39f4ca09ff817ae1f78ac6461d5a7f,allowlist/env access,later invitation work,operator requirements,Implemented,Historical code evidence,multiple authorization authorities,email identity,Google OAuth+DO,Google+Cloudflare,security high,High,Worker 6,REBUILD,HIGH,HIGH,MEDIUM,1-3 days concept reuse
V1-003,48h project invitations,ng549/Merchant-PRO,feature/nexus-invitations-48h-project,src/membership.js + src/nexus-account-ui.js,9db04d38abe173d7268b4cfe909ab1838afc0dbd,7-day single-use foundation,invitation-email wording a0dab5d6,explicit operator-approved behavior,Branch implementation + QA,Commit/test evidence,foundation drift,identity provider+membership,Google OAuth,security high,High,Worker 6,REBUILD,HIGH,MEDIUM,LOW-MEDIUM,1-2 days requirements/tests
V1-004,Profile/member Control Panel,ng549/Merchant-PRO,feature/mhc-project-foundation,src/nexus-account-ui.js,8893eb986a39f4ca09ff817ae1f78ac6461d5a7f,earlier functional controls,later V2 shell,operator requirements,Implemented UI,Historical code/test evidence,UI/domain coupling,auth+membership,Google,UI only,Medium,Worker 6+11,ADAPT,HIGH,MEDIUM,LOW,1-2 days
V1-005,Nexus task catalog,ng549/Merchant-PRO,feature/mhc-project-foundation,src/nexus-tasks.js,8893eb986a39f4ca09ff817ae1f78ac6461d5a7f,early roadmap,later V2 Work Packets,operator governance,Implemented,Source/test evidence,static+mutable state split,task DO+docs,None,N/A,High,Worker 9,ADAPT,HIGH,MEDIUM,MEDIUM,3-5 days requirements/acceptance reuse
V1-006,Task search,ng549/Merchant-PRO,feature/nexus-task-search,qa/search.spec.mjs,b4884cca3f1b4e1b60a44abdb51c9acd4bc92bb4,missing search,fix/nexus-search-bundled-runtime,explicit operator requirement,Implemented branch,QA intent evidence,branch behind foundation,task UI,None,N/A,High,Worker 9+11,REBUILD,MEDIUM,MEDIUM,LOW,1 day tests/UX
V1-007,Acceptance/revision gates,ng549/Merchant-PRO,fix/nexus-acceptance-revision-gates,src/task-acceptance.js,7ba0f040c7cbc468c3db133e12ba46b7a6bf6000,earlier approval model,V2 Golden Rule,explicit acceptance requirement,Implemented branch,Tests/source evidence,branch divergence,task state,None,N/A,High,Worker 9,ADAPT,HIGH,LOW-MEDIUM,LOW,2-3 days
V1-008,Codex executor controls,ng549/Merchant-PRO,fix/nexus-executor-default-registration,.github/workflows/nexus-executor.yml,79eba46a5f62c8fa518ffd092fac63f426b60526,manual execution,later worker fixes,NX-015/023/028 policy,Implemented,workflow source; production reliability mixed,hardcoded app/branch/callback,runner+GitHub Actions,GitHub+OpenAI,secrets/callback scope,High,Worker 9,REBUILD,HIGH,HIGH,HIGH,3-5 days control-pattern reuse
V1-009,Grok operator control,ng549/Merchant-PRO,grok/nexus-operator-control,src/grok-queue*.js,ee5849be06c8bb29b27eb48d5d33080fb23eb600,initial nx-028 control,later parallel-worker requirements,NX-028/029,Implemented branch,Unit tests in branch,second bespoke stack/GitHub issue coupling,GitHub+xAI,GitHub/xAI,provider auth,High,Worker 9,REFERENCE ONLY,HIGH,HIGH,MEDIUM,1-2 days UX/policy
V1-010,Quark product contract,ng549/Merchant-PRO,feature/mhc-project-foundation,src/assistant.js + src/nexus-tasks.js,8893eb986a39f4ca09ff817ae1f78ac6461d5a7f,early assistant,later V2 AI gateway,operator-approved behavior,Implemented policy,Historical tests/source,provider/runtime coupling,assistant DO+auth,OpenAI+xAI,BYOK isolation incomplete,High,Worker 8+11+13,ADAPT,HIGH,MEDIUM,MEDIUM,4-7 days requirements
